year,age_group,population,total_population,population_share
2012,Berufsschulpflichtige (15 bis 17 Jahre),30207.666666666668,1426362.25,0.021178117036304536
2012,18 bis 64 Jahre,968752.4166666667,1426362.25,0.6791769879402422
2012,Rentner*innen (65 Jahre und älter),253071.08333333334,1426362.25,0.1774241314458044
2013,noch nicht Schulpflichtige (0 bis 5 Jahre),80783.75,1452290.5833333333,0.05562505942480405
2013,Schulpflichtige (6 bis 14 Jahre),97047.66666666667,1452290.5833333333,0.06682386278641322
2013,Berufsschulpflichtige (15 bis 17 Jahre),31173.333333333332,1452290.5833333333,0.021464942134227383
2013,18 bis 64 Jahre,986212.5,1452290.5833333333,0.6790738102401109
2013,Rentner*innen (65 Jahre und älter),257073.33333333334,1452290.5833333333,0.17701232541444445
2014,noch nicht Schulpflichtige (0 bis 5 Jahre),82347.25,1478323.6666666667,0.05570312635640684
2014,Schulpflichtige (6 bis 14 Jahre),99247,1478323.6666666667,0.06713482455691368
2014,Berufsschulpflichtige (15 bis 17 Jahre),32016.166666666668,1478323.6666666667,0.021657075096996124
2014,18 bis 64 Jahre,1003770.75,1478323.6666666667,0.6789925458362636
2014,Rentner*innen (65 Jahre und älter),260942.5,1478323.6666666667,0.17651242815341972
2015,noch nicht Schulpflichtige (0 bis 5 Jahre),84547.41666666667,1505974.0833333333,0.05614134904601336
2015,Schulpflichtige (6 bis 14 Jahre),101796.91666666667,1505974.0833333333,0.06759539741968779
2015,Berufsschulpflichtige (15 bis 17 Jahre),33558.583333333336,1505974.0833333333,0.02228363934328441
2015,18 bis 64 Jahre,1021764.9166666666,1505974.0833333333,0.6784744358980502
2015,Rentner*innen (65 Jahre und älter),264306.25,1505974.0833333333,0.17550517829296422
2016,noch nicht Schulpflichtige (0 bis 5 Jahre),87672.08333333333,1533763.0833333333,0.057161424920200356
2016,Schulpflichtige (6 bis 14 Jahre),104459.66666666667,1533763.0833333333,0.06810678115921533
2016,Berufsschulpflichtige (15 bis 17 Jahre),33762.583333333336,1533763.0833333333,0.022012906491370873
2016,18 bis 64 Jahre,1041098.7499999999,1533763.0833333333,0.678787200782911
2016,Rentner*innen (65 Jahre und älter),266770,1533763.0833333333,0.17393168664630246
2017,noch nicht Schulpflichtige (0 bis 5 Jahre),89475.16666666667,1540579.8333333335,0.05807888999369177
2017,Schulpflichtige (6 bis 14 Jahre),106379.08333333333,1540579.8333333335,0.0690513279686144
2017,Berufsschulpflichtige (15 bis 17 Jahre),32963.666666666664,1540579.8333333335,0.02139692208961582
2017,18 bis 64 Jahre,1044394.7500000001,1540579.8333333335,0.6779231607493239
2017,Rentner*innen (65 Jahre und älter),267367.1666666667,1540579.8333333335,0.17354969919875407
2018,noch nicht Schulpflichtige (0 bis 5 Jahre),90828.27272727272,1533308.727272727,0.059236780637665576
2018,Schulpflichtige (6 bis 14 Jahre),108056.54545454546,1533308.727272727,0.07047279098629014
2018,Berufsschulpflichtige (15 bis 17 Jahre),32934.09090909091,1533308.727272727,0.02147909962507699
2018,18 bis 64 Jahre,1035746.7272727272,1533308.727272727,0.6754978360522308
2018,Rentner*innen (65 Jahre und älter),265743.0909090909,1533308.727272727,0.17331349269873658
2019,noch nicht Schulpflichtige (0 bis 5 Jahre),91837.91666666667,1550235.3333333335,0.05924127433555249
2019,Schulpflichtige (6 bis 14 Jahre),110070.5,1550235.3333333335,0.0710024456501873
2019,Berufsschulpflichtige (15 bis 17 Jahre),33335.25,1550235.3333333335,0.02150334809381629
2019,18 bis 64 Jahre,1048087.6666666667,1550235.3333333335,0.6760829431058424
2019,Rentner*innen (65 Jahre und älter),266904,1550235.3333333335,0.17216998881460147
2020,noch nicht Schulpflichtige (0 bis 5 Jahre),92083.75,1560415.0833333333,0.059012342923071594
2020,Schulpflichtige (6 bis 14 Jahre),111920.25,1560415.0833333333,0.071724665568419
2020,Berufsschulpflichtige (15 bis 17 Jahre),34084.416666666664,1560415.0833333333,0.02184317303179106
2020,18 bis 64 Jahre,1053870.25,1560415.0833333333,0.675378148581299
2020,Rentner*innen (65 Jahre und älter),268456.4166666667,1560415.0833333333,0.1720416698954194
2021,noch nicht Schulpflichtige (0 bis 5 Jahre),91882.16666666667,1562123.25,0.058818769048259584
2021,Schulpflichtige (6 bis 14 Jahre),113332.41666666667,1562123.25,0.07255023998053077
2021,Berufsschulpflichtige (15 bis 17 Jahre),34744.333333333336,1562123.25,0.022241736260780534
2021,18 bis 64 Jahre,1053943.9166666667,1562123.25,0.674686787144783
2021,Rentner*innen (65 Jahre und älter),268220.4166666667,1562123.25,0.1717024675656461
2022,noch nicht Schulpflichtige (0 bis 5 Jahre),92129.66666666667,1578981.75,0.05834751837167635
2022,Schulpflichtige (6 bis 14 Jahre),116849.66666666667,1578981.75,0.07400317746969949
2022,Berufsschulpflichtige (15 bis 17 Jahre),36373.416666666664,1578981.75,0.023035995613417737
2022,18 bis 64 Jahre,1064544.5833333333,1578981.75,0.6741968888071906
2022,Rentner*innen (65 Jahre und älter),269084.4166666667,1578981.75,0.17041641973801577
2023,noch nicht Schulpflichtige (0 bis 5 Jahre),90748.41666666667,1584994,0.05725473829343623
2023,Schulpflichtige (6 bis 14 Jahre),118403.16666666667,1584994,0.07470259614021672
2023,Berufsschulpflichtige (15 bis 17 Jahre),37389.083333333336,1584994,0.023589416321660103
2023,18 bis 64 Jahre,1069250.75,1584994,0.6746087051433634
2023,Rentner*innen (65 Jahre und älter),269202.5833333333,1584994,0.1698445441013236
2024,noch nicht Schulpflichtige (0 bis 5 Jahre),89063,1595787.7500000002,0.05581130698615777
2024,Schulpflichtige (6 bis 14 Jahre),119601.25,1595787.7500000002,0.07494809381761453
2024,Berufsschulpflichtige (15 bis 17 Jahre),38038.083333333336,1595787.7500000002,0.023836555540254857
2024,18 bis 64 Jahre,1078140.0833333335,1595787.7500000002,0.6756162173405162
2024,Rentner*innen (65 Jahre und älter),270945.3333333333,1595787.7500000002,0.1697878263154566
